Nr	ORT	Begin Time	End Time	Duration	
1	Buongiorno	590	1040	450	
2	a	1040	1110	70	
3	tutti	1110	1870	760	
4	benvenuti	1870	2650	780	
5	<lp>	2650	3290	640	
6	io<oo>	3290	3650	360	
7	sono	3650	3886	236	
8	Camilla	3886	4541	655	
9	<tongue-click>	4541	4618	77	
10	e	4618	4701	83	
11	sono<oo>	4701	5240	539	
12	la	5240	5330	90	
13	storica	5330	5700	370	
14	dell'arte	5700	6211	511	
15	che	6211	6333	122	
16	questa	6333	6630	297	
17	mattina	6630	7070	440	
18	vi	7070	7140	70	
19	accompagnerà	7140	7974	834	
20	<inspiration>	7974	8421	447	
21	attraverso	8421	9003	582	
22	gli	9003	9100	97	
23	ambienti	9100	9644	544	
24	della	9644	10001	357	
25	Certosa	10001	10520	519	
26	e	10520	10610	90	
27	Museo	10610	10909	299	
28	nazionale	10909	11480	571	
29	di	11480	11550	70	
30	San	11550	11725	175	
31	Martino	11725	12300	575	
32	<lp>	12300	13030	730	
33	già	13030	13456	426	
34	insomma	13456	13947	491	
35	la	13947	14050	103	
36	dicitura	14050	14690	640	
37	così	14690	15084	394	
38	<inspiration>	15084	15438	354	
39	vi	15438	15557	119	
40	dà	15557	15712	155	
41	anche	15712	15982	270	
42	un	15982	16070	88	
43	po'	16070	16387	317	
44	un'idea	16387	17102	715	
45	<inspiration>	17102	17410	308	
46	delle<ee>	17410	17968	558	
47	due	17968	18250	282	
48	anime	18250	18862	612	
49	<sp>	18862	19092	230	
50	<vocal>	19092	19257	165	
51	di	19257	19395	138	
52	questo<oo>	19395	20070	675	
53	di	20070	20150	80	
54	questo	20150	20480	330	
55	luogo	20480	20930	450	
56	<inspiration>	20930	21397	467	
57	<sp>	21397	21589	192	
58	<ehm>	21589	22161	572	
59	ovvero	22161	22850	689	
60	il	22850	22964	114	
61	visitatore	22964	23770	806	
62	<breath>	23770	23987	217	
63	che<ee>	23987	24524	537	
64	come	24524	24755	231	
65	voi	24755	25150	395	
66	<unclear>	25150	25480	330	
67	stamattina	25480	26130	650	
68	insomma	26130	26460	330	
69	viene<ee>	26460	27118	658	
70	<eeh>	27118	27508	390	
71	a	27508	27640	132	
72	visitare	27640	28162	522	
73	questo	28162	28460	298	
74	museo	28460	28800	340	
75	viene	28800	29020	220	
76	in	29020	29050	30	
77	questo	29050	29360	310	
78	luogo	29360	29710	350	
79	<inspiration>	29710	30120	410	
80	può	30120	30510	390	
81	<sp>	30510	30686	176	
82	sia	30686	31330	644	
83	<ehm>	31330	32406	1076	
84	<breath>	32406	32839	433	
85	<lp>	32839	33360	521	
86	<tongue-click>	33360	33486	126	
87	avere	33486	33829	343	
88	un	33829	33960	131	
89	assaggio	33960	34670	710	
90	<breath>	34670	34814	144	
91	<sp>	34814	35017	203	
92	di	35017	35225	208	
93	quella	35225	35460	235	
94	che	35460	35561	101	
95	doveva	35561	35985	424	
96	essere	35985	36637	652	
97	<inspiration>	36637	36910	273	
98	la	36910	37049	139	
99	vita	37049	37320	271	
100	dei	37320	37428	108	
101	certosini	37428	38250	822	
102	<lp>	38250	39015	765	
103	<tongue-click>	39015	39290	275	
104	in	39290	39420	130	
105	questo	39420	39740	320	
106	monastero	39740	40490	750	
107	<inspiration>	40490	41409	919	
108	<sp>	41409	41620	211	
109	sia	41620	42248	628	
110	<eeh>	42248	43080	832	
111	vedere	43080	43780	700	
112	<eeh>	43780	44425	645	
113	gli	44425	44524	99	
114	ambienti	44524	45100	576	
115	<sp>	45100	45386	286	
116	che	45386	45526	140	
117	s+	45526	45580	54	
118	poi	45580	45760	180	
119	sono	45760	45940	180	
120	stati	45940	46188	248	
121	trasformati	46188	46810	622	
122	e	46810	46840	30	
123	si	46840	47000	160	
124	sono<oo>	47000	47520	520	
125	sono	47520	47720	200	
126	diventati	47720	48150	430	
127	il	48150	48180	30	
128	Museo	48180	48430	250	
129	nazionale	48430	49090	660	
130	<sp>	49090	49571	481	
131	<inspiration>	49571	50420	849	
132	i	50420	50733	313	
133	certosini	50733	51680	947	
134	che<ee>	51680	52480	800	
135	<ehm>	52480	52811	331	
136	si	52811	53060	249	
137	trovavano	53060	53480	420	
138	qui	53480	53674	194	
139	dal	53674	53840	166	
140	milletrecento	53840	55030	1190	
141	<sp>	55030	55171	141	
142	infatti	55171	55960	789	
143	<inspiration>	55960	56290	330	
144	sono	56290	56540	250	
145	stati	56540	56849	309	
146	poi	56849	57415	566	
147	<vocal>	57415	57801	386	
148	gentilmente	57801	58478	677	
149	invitati	58478	59050	572	
150	insomma	59050	59542	492	
151	<laughter>	59542	59842	300	
152	a	59842	59994	152	
153	lasciare	59994	60570	576	
154	questo	60570	61110	540	
155	ameno	61110	61450	340	
156	luogo	61450	62063	613	
157	<inspiration>	62063	62430	367	
158	nel	62430	62545	115	
159	milleottocento	62545	63580	1035	
160	<sp>	63580	63716	136	
161	<inspiration>	63716	63953	237	
162	e	63953	64083	130	
163	si	64083	64243	160	
164	decise	64243	64990	747	
165	<inspiration>	64990	65401	411	
166	<eeh>	65401	65698	297	
167	di	65698	65903	205	
168	trasformarlo	65903	66830	927	
169	poi	66830	67350	520	
170	in	67350	67451	101	
171	un	67451	67560	109	
172	museo	67560	68080	520	
173	<lp>	68080	68653	573	
174	<tongune-click>	68653	68736	83	
175	il	68736	68910	174	
176	Museo<oo>	68910	69820	910	
177	di	69820	69930	110	
178	San	69930	70100	170	
179	Martino	70100	70502	402	
180	doveva	70502	70750	248	
181	essere	70750	71193	443	
182	di	71193	71280	87	
183	fatto	71280	71570	290	
184	il	71570	71660	90	
185	museo	71660	71990	330	
186	civico	71990	72520	530	
187	<lp>	72520	73090	570	
188	della	73090	73340	250	
189	città	73340	73635	295	
190	di	73635	73750	115	
191	Napoli	73750	74170	420	
192	<sp>	74170	74525	355	
193	<tongue-click>	74525	74603	78	
194	quindi	74603	74880	277	
195	al	74880	75000	120	
196	*sin+	75000	75302	302	
197	al	75302	75504	202	
198	suo	75504	75660	156	
199	interno	75660	76121	461	
200	dovevano	76121	76440	319	
201	essere	76440	76930	490	
202	<inspiration>	76930	77461	531	
203	<ehm>	77461	78138	677	
204	conservate	78138	79170	1032	
205	<lp>	79170	79733	563	
206	<tongue-click>	79733	79810	77	
207	alcune	79810	80223	413	
208	delle	80223	80427	204	
209	memorie	80427	80880	453	
210	più	80880	81092	212	
211	importanti	81092	82072	980	
212	<breath>	82072	82177	105	
213	<lp>	82177	82730	553	
214	della	82730	82994	264	
215	città	82994	83290	296	
216	<sp>	83290	83545	255	
217	ancora	83545	83983	438	
218	adesso	83983	84400	417	
219	c'è	84400	84550	150	
220	una	84550	84650	100	
221	sezione	84650	85090	440	
222	del	85090	85210	120	
223	museo	85210	85600	390	
224	che	85600	85670	70	
225	si	85670	85840	170	
226	chiama	85840	86050	210	
227	proprio	86050	86340	290	
228	Immagini	86340	86790	450	
229	e	86790	86820	30	
230	memorie	86820	87283	463	
231	quindi	87283	87640	357	
232	<sp>	87640	87800	160	
233	insomma	87800	88090	290	
234	<inspiration>	88090	88470	380	
235	ve	88470	88570	100	
236	la	88570	88680	110	
237	dice<ee>	88680	89160	480	
238	<sp>	89160	89291	131	
239	lunga	89291	89850	559	
