Nr	dstr	Begin Time	End Time	Duration	
1	PRL	1544	1749	205	
2	PRL	2839	3012	173	
3	PRL	4635	4903	268	
4	PRL	10408	10789	381	
5	DEL	17152	18151	999	
6	FP	18151	18251	100	
7	REP	20895	21232	337	
8	PRL	23353	23646	293	
9	PRL	24783	24970	187	
10	REP	30640	31390	750	
11	PRL	31823	32021	198	
12	LFP	35138	35685	547	
13	FP	36542	36771	229	
14	FP	39350	39964	614	
15	PRL	43388	43570	182	
16	PRL	44635	44972	337	
17	REP	44972	45263	291	
18	PRL	46698	46860	162	
19	PRL	49295	49419	124	
20	FP	49419	50480	1061	
21	FP	53800	54204	404	
22	PRL	54541	54799	258	
23	FP	54799	56086	1287	
24	LFP	59491	60193	702	
25	PRL	60193	60460	267	
26	FP	60860	61159	299	
27	LFP	62852	63424	572	
28	LFP	67160	67664	504	
29	PRL	68186	68460	274	
30	PRL	68632	68760	128	
31	REP	68760	68880	120	
32	LFP	75700	76320	620	
33	SP	81201	81296	95	
34	FP	81296	81589	293	
35	PRL	82241	82478	237	
36	SP	82478	82604	126	
37	FP	82604	83040	436	
38	SP	88167	88278	111	
39	FP	88278	88577	299	
40	PRL	89200	89447	247	
41	SP	89447	89662	215	
42	FP	89662	89793	131	
43	LFP	93657	94090	433	
44	PRL	94090	94300	210	
45	PRL	98360	98500	140	
46	SP	99130	99734	604	
47	FP	99734	99960	226	
48	PRL	103262	103512	250	
49	PRL	107567	108020	453	
50	FP	108020	108223	203	
51	PRL	108477	108750	273	
52	SUB	108750	108950	200	
53	SP	109700	109999	299	
54	FP	109999	110366	367	
55	FP	111345	111780	435	
56	LFP	112393	112967	574	
57	PRL	113698	114150	452	
58	SP	114150	114280	130	
59	SP	116960	117120	160	
60	FP	117120	117412	292	
61	SP	117412	117596	184	
62	LFP	118073	118610	537	
63	SP	124130	124540	410	
64	LFP	124540	125100	560	
65	PRL	125359	125696	337	
66	REP	125696	125907	211	
67	PRL	126809	127252	443	
68	SUB	127602	127689	87	
69	LFP	129084	129486	402	
70	SP	129486	129650	164	
71	REP	131087	131320	233	
72	SUB	131320	131860	540	
73	LFP	132500	133140	640	
74	LFP	133140	133550	410	
75	PRL	135437	135643	206	
76	LFP	137292	137670	378	
77	PRL	139001	139310	309	
78	SP	139310	139660	350	
79	PRL	140854	141422	568	
80	PRL	142370	142484	114	
81	PRL	145073	145350	277	
82	SP	145350	145482	132	
83	PRL	148181	148400	219	
84	LFP	153010	153338	328	
85	PRL	155066	155400	334	
86	FP	156570	156860	290	
87	PRL	158171	158340	169	
88	PRL	160666	160997	331	
89	PRL	161970	162140	170	
90	LFP	166520	167000	480	
91	PRL	168567	168971	404	
92	PRL	169754	170101	347	
93	LFP	177851	178293	442	
94	PRL	178293	178480	187	
95	LFP	182780	183210	430	
96	FP	184377	184643	266	
97	PRL	192614	192990	376	
98	SP	192990	193095	105	
99	REP	193095	193472	377	
