Nr	ORT	Begin Time	End Time	Duration	
1	Buongiorno	644	1030	386	
2	a	1030	1080	50	
3	tutti <ii>	1080	1750	670	
4	ragazzi	1750	2560	810	
5	<sp>	2560	2670	110	
6	io<oo>	2670	3010	340	
7	sono	3010	3250	240	
8	Camilla	3250	3730	480	
9	<sp>	3730	4360	630	
10	sono<oo>	4360	4900	540	
11	la	4900	5020	120	
12	storica	5020	5450	430	
13	dell'arte	5450	6150	700	
14	che	6150	6419	269	
15	questa	6419	6750	331	
16	mattina	6750	7230	480	
17	vi	7230	7288	58	
18	accompagnerà	7288	8204	916	
19	attraverso	8204	8998	794	
20	gli	8998	9110	112	
21	ambienti	9110	9605	495	
22	della	9605	9818	213	
23	Certosa<aa>	9818	10790	972	
24	di	10790	10885	95	
25	San	10885	11040	155	
26	Martino	11040	11509	469	
27	<inspiration>	11509	11964	455	
28	Voi	11964	12100	136	
29	la	12100	12220	120	
30	conoscete	12220	12660	440	
31	già	12660	12980	320	
32	<INT>	12980	15125	2145	
33	si	15125	15480	355	
34	<INT>	15480	15650	170	
35	più	15650	15763	113	
36	o	15763	15830	67	
37	meno	15830	16365	535	
38	okay	16365	16810	445	
39	<inspiration>	16810	17152	342	
40	perchè	17152	17570	418	
41	<sp>	17570	17605	35	
42	spesso	17605	17980	375	
43	e	17980	18010	30	
44	vol+	18010	18150	140	
45	<eeh>	18150	18254	104	
46	/siete	18254	18473	219	
47	tutti	18473	18660	187	
48	napoletani	18660	19270	610	
49	<INT>	19270	20297	1027	
50	Okay	20297	20736	439	
51	<unclear>	20736	20895	159	
52	okay	20895	21232	337	
53	perché	21232	21510	278	
54	solitamente	21510	22268	758	
55	succede	22268	22870	602	
56	<inspiration>	22870	23180	310	
57	che<ee>	23180	23642	462	
58	anche	23642	23920	278	
59	per	23920	24069	149	
60	i	24069	24154	85	
61	ragazzi<ii>	24154	24970	816	
62	napoletani	24970	25920	950	
63	spesso	25920	26290	370	
64	è	26290	26325	35	
65	il	26325	26379	54	
66	tipico	26379	26740	361	
67	posto	26740	27100	360	
68	dove	27100	27290	190	
69	ti	27290	27370	80	
70	portano	27370	27820	450	
71	con	27820	27982	162	
72	le	27982	28050	68	
73	scuole	28050	28770	720	
74	<inspiration>	28770	29199	429	
75	e	29199	29384	185	
76	a	29384	29450	66	
77	volte	29450	29840	390	
78	succede	29840	30640	800	
79	succede	30640	31390	750	
80	<inspiration>	31390	31670	280	
81	di<ii>	31670	32020	350	
82	non	32020	32230	210	
83	tornarci	32230	33160	930	
84	non	33160	33320	160	
85	dico	33320	33500	180	
86	mai	33500	33700	200	
87	più	33700	34091	391	
88	da	34091	34206	115	
89	adulti	34206	34760	554	
90	però	34760	35138	378	
91	insomma	35138	35680	542	
92	con	35680	35841	161	
93	non	35841	36040	199	
94	tanta<aa>	36040	36771	731	
95	attenzione	36771	37440	669	
96	allora	37440	37711	271	
97	oggi	37711	38020	309	
98	è	38020	38110	90	
99	l'occasione	38110	38962	852	
100	<inspiration>	38962	39350	388	
101	<eeh>	39350	39964	614	
102	per	39964	40097	133	
103	rivedere	40097	40710	613	
104	insieme	40710	41350	640	
105	delle	41350	41580	230	
106	cose	41580	41900	320	
107	che	41900	41972	72	
108	magari	41972	42390	418	
109	conoscete	42390	43260	870	
110	o<oo>	43260	43570	310	
111	dove	43570	43770	200	
112	siete	43770	44020	250	
113	stati	44020	44380	360	
114	un	44380	44500	120	
115	po'<oo>	44500	44970	470	
116	un	44970	45120	150	
117	po'	45120	45250	130	
118	di	45250	45360	110	
119	tempo	45360	45690	330	
120	fa	45690	45880	190	
121	<inspiration>	45880	46490	610	
122	la <aa>	46490	46860	370	
123	Certosa	46860	47330	470	
124	di	47330	47440	110	
125	San	47440	47650	210	
126	Martino	47650	48460	810	
127	qui	48460	48660	200	
128	a	48660	48740	80	
129	Napoli<ii>	48740	49419	679	
130	<ehm>	49419	50480	1061	
131	<breath>	50480	50981	501	
132	ha	50981	51114	133	
133	almeno	51114	51872	758	
134	due	51872	52160	288	
135	anime	52160	52710	550	
136	<sp>	52710	53804	1094	
137	<eeh>	53804	54204	400	
138	una<aa>	54204	54794	590	
139	<ehm>	54794	56086	1292	
140	racconta	56086	56908	822	
141	la	56908	57060	152	
142	storia	57060	57800	740	
143	dei	57800	57930	130	
144	certosini	57930	58670	740	
145	<sp>	58670	59493	823	
146	e	59493	59564	71	
147	quindi<ii>	59564	60460	896	
148	<breath>	60460	60860	400	
149	<eeh>	60860	61159	299	
150	questa	61159	61439	280	
151	storia	61439	61760	321	
152	si	61760	61910	150	
153	snoda	61910	62288	378	
154	attraverso	62288	62850	562	
155	quelli	62850	63120	270	
156	che	63120	63190	70	
157	erano	63190	63420	230	
158	gli	63420	63550	130	
159	ambienti	63550	64090	540	
160	che	64090	64218	128	
161	questi	64218	64570	352	
162	monaci	64570	65090	520	
163	<sp>	65090	65210	120	
164	abitavano	65210	65810	600	
165	<sp>	65810	66601	791	
166	<tongue-click>	66601	66731	130	
167	però	66731	67000	269	
168	poi	67000	67159	159	
169	in	67159	67195	36	
170	realtà	67195	67665	470	
171	come	67665	67880	215	
172	dice<ee>	67880	68460	580	
173	la<aa>	68460	68760	300	
174	la	68760	68880	120	
175	dicitura	68880	69340	460	
176	stessa	69340	69780	440	
177	del	69780	69930	150	
178	museo	69930	70300	370	
179	oggiggiorno	70300	71000	700	
180	non	71000	71125	125	
181	è	71125	71184	59	
182	solo	71184	71490	306	
183	Certosa	71490	72020	530	
184	ma	72020	72160	140	
185	è	72160	72250	90	
186	anche	72250	72480	230	
187	Museo	72480	72780	300	
188	nazionale	72780	73480	700	
189	<inspiration>	73480	74120	640	
190	Significa	74120	74560	440	
191	che	74560	74660	100	
192	questo	74660	75030	370	
193	luogo	75030	75501	471	
194	<sp>	75501	75684	183	
195	in	75684	75721	37	
196	realtà	75721	76330	609	
197	a	76330	76383	53	
198	partire	76383	76880	497	
199	dagli	76880	77067	187	
200	anni	77067	77291	224	
201	sessanta	77291	77788	497	
202	del	77788	77917	129	
203	milleottocento	77917	78765	848	
204	è	78765	78810	45	
205	diventato	78810	79254	444	
206	anche	79254	79500	246	
207	museo	79500	80020	520	
208	<sp>	80020	80449	429	
209	<breath>	80449	80940	491	
210	e	80940	81201	261	
211	<sp>	81201	81296	95	
212	<eeh>	81296	81589	293	
213	all'epoca<aa>	81589	82478	889	
214	<sp>	82478	82604	126	
215	<eeh>	82604	83040	436	
216	si	83040	83200	160	
