,ANNOTATION_ID,CVE_REF,TIME_SLOT_REF1,TIME_SLOT_REF2,LINGUISTIC_TYPE_REF,TIER_ID,PARENT_REF,annotation
0,a10904,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts39,ts50,dml,dml,,OU
1,a10905,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts48,ts54,dml,dml,,IM
2,a10906,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts56,ts93,dml,dml,,CNT
3,a14550,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts101,ts106,dml,dml,,OU
4,a14551,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts105,ts122,dml,dml,,IM
5,a14552,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts124,ts143,dml,dml,,CNT
6,a14553,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts184,ts195,dml,dml,,OU
7,a14554,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts196,ts207,dml,dml,,IM
8,a14555,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts209,ts247,dml,dml,,CNT
9,a14556,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts451,ts485,dml,dml,,OU
10,a14557,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts483,ts487,dml,dml,,IM
11,a14558,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts489,ts549,dml,dml,,CNT
12,a14561,cveid_5332401c-84ae-4062-af77-77b346f4bdcd,ts702,ts772,dml,dml,,RM
13,a14562,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts774,ts778,dml,dml,,IM
14,a14563,cveid_be376264-1789-4fff-aec3-69689249d83b,ts780,ts854,dml,dml,,RS
15,a14564,cveid_5332401c-84ae-4062-af77-77b346f4bdcd,ts867,ts886,dml,dml,,RM
16,a14565,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts889,ts894,dml,dml,,IM
17,a16173,cveid_be376264-1789-4fff-aec3-69689249d83b,ts897,ts912,dml,dml,,RS
18,a14567,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts986,ts1027,dml,dml,,OU
19,a14568,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts1028,ts1044,dml,dml,,IM
20,a14569,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts1046,ts1114,dml,dml,,OU
21,a14570,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts1115,ts1119,dml,dml,,IM
22,a14571,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts1118,ts1157,dml,dml,,CNT
23,a14572,cveid_5332401c-84ae-4062-af77-77b346f4bdcd,ts1397,ts1428,dml,dml,,RM
