,Begin Time,Duration,End Time,Nr,ORT
0,644.0,386.0,1030.0,1,Buongiorno
1,1030.0,50.0,1080.0,2,a
2,1080.0,670.0,1544.0,3,tutti
3,1544.0,206.0,1750.0,3,<ii>
4,1750.0,810.0,2560.0,4,ragazzi
5,2560.0,110.0,2670.0,5,<sp>
6,2670.0,340.0,2839.0,6,io
7,2839.0,171.0,3010.0,6,<oo>
8,3010.0,240.0,3250.0,7,sono
9,3250.0,480.0,3730.0,8,Camilla
10,3730.0,630.0,4360.0,9,<sp>
11,4360.0,540.0,4635.0,10,sono
12,4635.0,265.0,4900.0,10,<oo>
13,4900.0,120.0,5020.0,11,la
14,5020.0,430.0,5450.0,12,storica
15,5450.0,700.0,6150.0,13,dell'arte
16,6150.0,269.0,6419.0,14,che
17,6419.0,331.0,6750.0,15,questa
18,6750.0,480.0,7230.0,16,mattina
19,7230.0,58.0,7288.0,17,vi
20,7288.0,916.0,8204.0,18,accompagnerà
21,8204.0,794.0,8998.0,19,attraverso
22,8998.0,112.0,9110.0,20,gli
23,9110.0,495.0,9605.0,21,ambienti
24,9605.0,213.0,9818.0,22,della
25,9818.0,972.0,10408.0,23,Certosa
26,10408.0,382.0,10790.0,23,<aa>
27,10790.0,95.0,10885.0,24,di
28,10885.0,155.0,11040.0,25,San
29,11040.0,469.0,11509.0,26,Martino
30,11509.0,455.0,11964.0,27,<inspiration>
31,11964.0,136.0,12100.0,28,Voi
32,12100.0,120.0,12220.0,29,la
33,12220.0,440.0,12660.0,30,conoscete
34,12660.0,320.0,12980.0,31,già
35,12980.0,2145.0,15125.0,32,<INT>
36,15125.0,355.0,15480.0,33,si
37,15480.0,170.0,15650.0,34,<INT>
38,15650.0,113.0,15763.0,35,più
39,15763.0,67.0,15830.0,36,o
40,15830.0,535.0,16365.0,37,meno
41,16365.0,445.0,16810.0,38,okay
42,16810.0,342.0,17152.0,39,<inspiration>
43,17152.0,418.0,17570.0,40,perchè
44,17570.0,35.0,17605.0,41,<sp>
45,17605.0,375.0,17980.0,42,spesso
46,17980.0,30.0,18010.0,43,e
47,18010.0,140.0,18150.0,44,vol+
48,18150.0,104.0,18254.0,45,<eeh>
49,18254.0,219.0,18473.0,46,/siete
50,18473.0,187.0,18660.0,47,tutti
51,18660.0,610.0,19270.0,48,napoletani
52,19270.0,1027.0,20297.0,49,<INT>
53,20297.0,439.0,20736.0,50,Okay
54,20736.0,159.0,20895.0,51,<unclear>
55,20895.0,337.0,21232.0,52,okay
56,21232.0,278.0,21510.0,53,perché
57,21510.0,758.0,22268.0,54,solitamente
58,22268.0,602.0,22870.0,55,succede
59,22870.0,310.0,23180.0,56,<inspiration>
60,23180.0,462.0,23353.0,57,che
61,23353.0,289.0,23642.0,57,<ee>
62,23642.0,278.0,23920.0,58,anche
63,23920.0,149.0,24069.0,59,per
64,24069.0,85.0,24154.0,60,i
65,24154.0,816.0,24783.0,61,ragazzi
66,24783.0,187.0,24970.0,61,<ii>
67,24970.0,950.0,25920.0,62,napoletani
68,25920.0,370.0,26290.0,63,spesso
69,26290.0,35.0,26325.0,64,è
70,26325.0,54.0,26379.0,65,il
71,26379.0,361.0,26740.0,66,tipico
72,26740.0,360.0,27100.0,67,posto
73,27100.0,190.0,27290.0,68,dove
74,27290.0,80.0,27370.0,69,ti
75,27370.0,450.0,27820.0,70,portano
76,27820.0,162.0,27982.0,71,con
77,27982.0,68.0,28050.0,72,le
78,28050.0,720.0,28770.0,73,scuole
79,28770.0,429.0,29199.0,74,<inspiration>
80,29199.0,185.0,29384.0,75,e
81,29384.0,66.0,29450.0,76,a
82,29450.0,390.0,29840.0,77,volte
83,29840.0,800.0,30640.0,78,succede
84,30640.0,750.0,31390.0,79,succede
85,31390.0,280.0,31670.0,80,<inspiration>
86,31670.0,350.0,31823.0,81,di
87,31823.0,197.0,32020.0,81,<ii>
88,32020.0,210.0,32230.0,82,non
89,32230.0,930.0,33160.0,83,tornarci
90,33160.0,160.0,33320.0,84,non
91,33320.0,180.0,33500.0,85,dico
92,33500.0,200.0,33700.0,86,mai
93,33700.0,391.0,34091.0,87,più
94,34091.0,115.0,34206.0,88,da
95,34206.0,554.0,34760.0,89,adulti
96,34760.0,378.0,35138.0,90,però
97,35138.0,542.0,35680.0,91,insomma
98,35680.0,161.0,35841.0,92,con
99,35841.0,199.0,36040.0,93,non
100,36040.0,731.0,36542.0,94,tanta
