,ANNOTATION_ID,Begin Time,End Time,Nr,ORT
0,a30226,590.0,1040.0,1,Buongiorno
1,a30227,1040.0,1110.0,2,a
2,a30228,1110.0,1870.0,3,tutti
3,a30229,1870.0,2650.0,4,benvenuti
4,a30230,2650.0,3290.0,5,<lp>
5,a30231,3290.0,3511.0,6,io
6,,3511.0,3650.0,6,<oo>
7,a30232,3650.0,3886.0,7,sono
8,a30233,3886.0,4541.0,8,Camilla
9,a30234,4541.0,4618.0,9,<tongue-click>
10,a30235,4618.0,4701.0,10,e
11,a30236,4701.0,5091.0,11,sono
12,,5091.0,5240.0,11,<oo>
13,a30237,5240.0,5330.0,12,la
14,a30238,5330.0,5700.0,13,storica
15,a30239,5700.0,6211.0,14,dell'arte
16,a30240,6211.0,6333.0,15,che
17,a30241,6333.0,6630.0,16,questa
18,a30242,6630.0,7070.0,17,mattina
19,a30243,7070.0,7140.0,18,vi
20,a30244,7140.0,7974.0,19,accompagnerà
21,a30245,7974.0,8421.0,20,<inspiration>
22,a30246,8421.0,9003.0,21,attraverso
23,a30247,9003.0,9100.0,22,gli
24,a30248,9100.0,9644.0,23,ambienti
25,a30249,9644.0,10001.0,24,della
26,a30250,10001.0,10520.0,25,Certosa
27,a30251,10520.0,10610.0,26,e
28,a30252,10610.0,10909.0,27,Museo
29,a30253,10909.0,11480.0,28,nazionale
30,a30254,11480.0,11550.0,29,di
31,a30255,11550.0,11725.0,30,San
32,a30256,11725.0,12300.0,31,Martino
33,a30257,12300.0,13030.0,32,<lp>
34,a30258,13030.0,13456.0,33,già
35,a30259,13456.0,13947.0,34,insomma
36,a30260,13947.0,14050.0,35,la
37,a30261,14050.0,14690.0,36,dicitura
38,a30262,14690.0,15084.0,37,così
39,a30263,15084.0,15438.0,38,<inspiration>
40,a30264,15438.0,15557.0,39,vi
41,a30265,15557.0,15712.0,40,dà
42,a30266,15712.0,15982.0,41,anche
43,a30267,15982.0,16070.0,42,un
44,a30268,16070.0,16387.0,43,po'
45,a30269,16387.0,17102.0,44,un'idea
46,a30270,17102.0,17410.0,45,<inspiration>
47,a30271,17410.0,17796.0,46,delle
48,,17796.0,17968.0,46,<ee>
49,a30272,17968.0,18250.0,47,due
50,a30273,18250.0,18862.0,48,anime
51,a30274,18862.0,19092.0,49,<sp>
52,a30275,19092.0,19257.0,50,<vocal>
53,a30276,19257.0,19395.0,51,di
54,a30277,19395.0,19837.0,52,questo
55,,19837.0,20070.0,52,<oo>
56,a30278,20070.0,20150.0,53,di
57,a30279,20150.0,20480.0,54,questo
58,a30280,20480.0,20930.0,55,luogo
59,a30281,20930.0,21397.0,56,<inspiration>
60,a30282,21397.0,21589.0,57,<sp>
61,a30283,21589.0,22161.0,58,<ehm>
62,a30284,22161.0,22850.0,59,ovvero
63,a30285,22850.0,22964.0,60,il
64,a30286,22964.0,23770.0,61,visitatore
65,a30287,23770.0,23987.0,62,<breath>
66,a30288,23987.0,24295.0,63,che
67,,24295.0,24524.0,63,<ee>
68,a30289,24524.0,24755.0,64,come
69,a30290,24755.0,25150.0,65,voi
70,a30291,25150.0,25480.0,66,<unclear>
