,TIME_SLOT_ID,TIME_VALUE
0,ts1,644
1,ts2,644
2,ts3,644
3,ts4,644
4,ts5,644
5,ts6,644
6,ts7,644
7,ts8,681
8,ts9,681
9,ts10,684
10,ts11,697
11,ts12,697
12,ts13,730
13,ts14,730
14,ts15,810
15,ts16,810
16,ts17,810
17,ts18,810
18,ts19,845
19,ts20,845
20,ts21,900
21,ts22,900
22,ts23,953
23,ts24,953
24,ts25,953
25,ts26,953
26,ts27,1030
27,ts28,1030
28,ts29,1030
29,ts30,1030
30,ts31,1030
31,ts32,1080
32,ts33,1080
33,ts34,1080
34,ts35,1080
35,ts36,1080
36,ts37,1080
37,ts38,1080
38,ts39,1081
39,ts40,1250
40,ts41,1250
41,ts42,1330
42,ts43,1330
43,ts44,1429
44,ts45,1429
45,ts46,1429
46,ts47,1429
47,ts48,1544
48,ts49,1544
49,ts50,1544
50,ts51,1544
51,ts52,1574
52,ts53,1574
53,ts54,1749
54,ts55,1749
55,ts56,1749
56,ts57,1749
57,ts58,1750
58,ts59,1750
59,ts60,1750
60,ts61,1750
61,ts62,1750
62,ts63,1750
63,ts64,1750
64,ts65,1751
65,ts66,1790
66,ts67,1790
67,ts68,1890
68,ts69,1890
69,ts70,1890
70,ts71,1890
71,ts72,1890
72,ts73,1930
73,ts74,1930
74,ts75,2125
75,ts76,2125
76,ts77,2226
77,ts78,2226
78,ts79,2226
79,ts80,2226
80,ts81,2370
81,ts82,2370
82,ts83,2530
83,ts84,2530
84,ts85,2530
85,ts86,2560
86,ts87,2560
87,ts88,2560
88,ts89,2560
89,ts90,2560
90,ts91,2560
91,ts92,2560
92,ts93,2562
93,ts94,2570
94,ts95,2670
95,ts96,2670
96,ts97,2670
97,ts98,2670
98,ts99,2671
99,ts100,2671
100,ts101,2672
101,ts102,2796
102,ts103,2796
103,ts104,2796
104,ts105,2839
105,ts106,2839
106,ts107,2839
107,ts108,2840
108,ts109,2904
109,ts110,2904
110,ts111,3010
111,ts112,3010
112,ts113,3010
113,ts114,3010
114,ts115,3010
115,ts116,3010
116,ts117,3010
117,ts118,3010
118,ts119,3011
119,ts120,3011
120,ts121,3011
121,ts122,3012
122,ts123,3012
123,ts124,3012
124,ts125,3012
125,ts126,3110
126,ts127,3110
127,ts128,3160
128,ts129,3160
129,ts130,3160
130,ts131,3160
131,ts132,3190
132,ts133,3190
133,ts134,3250
134,ts135,3250
135,ts136,3250
136,ts137,3250
137,ts138,3250
138,ts139,3250
139,ts140,3250
140,ts141,3250
141,ts142,3250
142,ts143,3253
143,ts144,3293
144,ts145,3293
145,ts146,3350
